Adobe After Effects 8.0 Keyframe Data
	Units Per Second	30.004
	Source Width	1280
	Source Height	720
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1
Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	428.694	258.25
	1	428.993	258.593
	2.00001	428.176	258.87
	3.00001	427.807	259.545
	4.00001	427.573	260.283
	5.00002	427.023	261.072
	6.00002	426.121	261.923
	7.00002	424.634	262.294
	8.00002	422.611	262.395
	9.00003	420.226	264.07
	10	417.806	264.929
	11	416.44	265.674
	12	414.926	266.138
	13	412.428	265.895
	14	407.388	261.798
	15	401.898	259.559
	16	396.035	256.5
	17.0001	390.792	254.441
	18.0001	384.036	251.3
	19.0001	378.274	250.038
	20.0001	372.079	249.222
	21.0001	366.083	248.116
	22.0001	358.31	245.23
	23.0001	350.278	243.124
	24.0001	342.274	240.05
	25.0001	334.721	238.823
	26.0001	326.784	237.752
	27.0001	319.835	236.682
	28.0001	312.788	235.713
	29.0001	305.803	234.784
	30.0001	298.387	234.549
	31.0001	290.489	235.467
	32.0001	284.149	236.416
	33.0001	277.149	238.416
	34.0001	270.106	241.42
	35.0001	263.16	243.474
	36.0001	256.371	247.412
	37.0001	251.285	250.506
	38.0001	244.826	254.294
	39.0001	237.818	258.341
	40.0001	231.748	263.145
	41.0001	224.246	266.844
	42.0001	216.23	269.809
	43.0001	208.833	274.402
	44.0001	201.712	277.449
	45.0001	196.155	280.194
	46.0001	191.637	283.732
	47.0001	188.045	287.407
	48.0001	184.539	290.141
	49.0001	180.558	294.067
	50.0002	178.496	298.094
	51.0002	176.519	305.071
	52.0002	174.554	308.067
	53.0002	175.508	308.059
	54.0002	171.531	306.133
	55.0002	166.527	305.094
	56.0002	162.531	309.071
	57.0002	150.48	302.094
	58.0002	155.838	328.925
	59.0002	156.14	328.565
	60.0002	174.245	339.646
	61.0002	175.567	342.321
	62.0002	181.232	347.993
	63.0002	183.609	350.582
	64.0002	185.95	353.105
	65.0002	194.774	358.857
	66.0002	198.143	361.618
	67.0002	202.781	369.438
	68.0002	204.162	373.102
	69.0002	205.519	376.741
	70.0002	216.268	385.636
	71.0002	216.672	389.413
	72.0002	217.174	393.978
	73.0002	228.855	402.877
	74.0002	229.306	406.638
	75.0002	251.434	413.416
	76.0002	252.978	417.044
	77.0002	256.437	420.676
	78.0002	260.919	424.308
	79.0002	274.737	427.983
	80.0002	280.227	430.643
	80.9998	290.041	435.154
	81.9998	290.555	439.719
	82.9998	299.164	442.168
	83.9998	311.009	444.982
	84.9998	316.557	446.642
	85.9998	327.369	444.013
	86.9998	327.801	445.52
	87.9998	331.255	446.06
	88.9998	339.074	444.861
	89.9998	347.913	434.474
	90.9998	349.267	435.391
	91.9998	349.835	436.281
	92.9998	350.379	437.225
	93.9998	351.748	438.193
	94.9998	353.046	439.571
	95.9998	353.587	441.012
	96.9998	354.272	442.527
	97.9998	354.829	444.057
	98.9998	355.158	445.565
	99.9998	354.472	449.333
	101	353.806	453.008
	102	352.393	456.875
	103	350.809	460.628
	104	350.322	461.303
	105	347.793	465.005
	106	345.275	468.739
	107	342.757	472.461
	108	340.239	476.066
	109	338.678	478.846
	110	338.078	481.572
	111	337.482	484.407
	112	337.034	487.195
	113	336.618	489.964
	114	336.94	492.69
	115	336.469	494.33
	116	336.984	501.127
	117	337.659	505.954
	118	337.231	506.476
	119	339.746	516.515
	120	339.068	517.205
	121	338.327	517.888
	122	336.911	519.419
	123	336.194	520.141
	124	335.488	520.714
	125	334.048	521.35
	126	332.468	521.916
	127	330.95	521.692
	128	329.678	521.649
	129	328.348	521.441
	130	326.978	520.991
	131	325.46	520.619
	132	318.863	529.599
	133	318.345	530.204
	134	318.827	530.812
	135	326.642	537.685
	136	327.933	539.458
	137	329.438	540.336
	138	331.139	542.187
	139	332.723	543.756
	140	334.404	545.627
	141	336.886	547.407
	142	339.306	549.266
	143	352.067	551.808
	144	353.439	553.526
	145	354.035	556.139
	146	353.478	555.849
	147	367.195	560.623
	148	372.135	563.176
	149	372.789	563.625
	150	385.295	564.372
	151	385.46	563.859
	152	392.595	563.651
	153	401.411	564.35
	154	415.973	562.91
	155	429.7	557.404
	156	438.091	555.834
	157	446.809	552.953
	158	460.513	549.744
	159	467.91	546.609
	160	473.526	546.647
	161	479.905	544.9
	162	485.189	540.834
	163	485.476	541.322
	164	491.41	538.616
	165	497.982	541.641
	166	497.351	542.058
	167	497.114	544.884
	168	501.958	544.379
	169	495.463	543.919
	170	483.867	541.766
End of Keyframe Data
