Adobe After Effects 8.0 Keyframe Data
	Units Per Second	29.97
	Source Width	1280
	Source Height	720
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1
Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	847.547	437.485
	1	844.706	450.659
	2	843.264	465.198
	3	840.903	479.853
	4	843.063	475.598
	5	846.573	466.976
	6	850.787	459.464
	7	854.49	453.307
	8	858.735	449.478
	9	863	446.188
	10	868.405	443.991
	11	872.213	442.811
	12	877.251	442.677
	13	881.031	443.13
	14	885.445	443.824
	15	888.955	445.921
	16	893.064	447.393
	17	896.364	450.751
	18	899.277	454.145
	19	901.569	458.632
	20	903.143	464.08
	21	904.349	469.943
	22	905.133	475.876
	23	905.777	482.504
	24	906.76	490.89
	25	907.248	499.666
	26	906.946	508.63
	27	907.988	518.106
	28	908.472	513.433
	29	910.025	505.334
	30	911.661	497.959
	31	916.141	490.341
	32	910.554	487.875
	33	911.041	484.972
	34	910.455	483.221
	35	909.505	482.794
	36	907.984	483.781
	37	907.147	485.499
	38	905.982	487.276
	39	905.364	491.685
	40	832.724	483.835
	41	832.637	483.748
	42	832.55	483.661
	43	832.464	483.574
	44	832.377	483.488
	45	832.29	483.401
	46	832.203	483.314
	47	832.116	483.227
	48	832.03	483.14
	49	831.943	483.053
	50	831.856	482.967
	51	831.769	482.88
	52	831.682	482.793
	53	831.596	482.706
	54	831.509	482.619
	55	831.422	482.533
	56	831.335	482.446
	57	860.063	468.185
	58	870.818	471.925
	59	871.188	474.229
	60	871.496	478.458
	61	870.265	482.704
	62	869.893	486.957
	63	871.716	481.475
	64	872.828	477.018
	65	870.371	474.798
	66	864.065	475.262
	67	858.603	477.066
	68	853.016	479.178
	69	848.945	478.521
	70	845.948	475.532
	71	843.576	472.816
	72	840.755	471.229
	73	837.262	470.264
	74	834.273	470.302
	75	832.026	471.125
	76	830.201	471.726
	77	828.93	469.686
	78	827.949	467.349
	79	827.296	465.899
	80	826.877	465.207
	81	826.806	465.487
	82	827.219	465.553
	83	827.839	465.091
	84	828.253	463.614
	85	827.986	462.624
	86	828.348	461.373
	87	827.512	461.072
	88	826.929	460.27
	89	826.541	459.57
	90	826.13	458.815
	91	826.18	458.166
	92	825.792	456.353
	93	825.213	454.442
	94	824.678	453.082
	95	824.046	453
	96	823.792	452.266
	97	823.335	451.141
	98	822.596	450.856
	99	821.206	450.965
	100	819.971	451.168
	101	818.413	450.867
	102	817.116	450.176
	103	815.088	450.117
	104	813.315	450.051
	105	811.206	448.981
	106	809.585	443.934
	107	807.061	435.383
	108	818.835	448.832
	109	813.099	446.245
	110	813.403	420.551
	111	809.799	412.143
	112	808.704	400.351
	113	803.039	417.545
	114	806.314	393.276
	115	805.063	387.142
	116	804.262	382.626
	117	802.023	379.774
	118	800.449	378.801
	119	799.113	378.848
	120	798.227	380.376
	121	796.242	382.641
	122	795.316	383.567
	123	793.742	385.692
	124	792.855	387.63
	125	791.242	390.333
	126	790.109	393.243
	127	789.684	395.88
	128	788.676	396.399
	129	788.477	396.395
	130	787.18	396.505
	131	786.262	396.739
	132	785.398	396.79
	133	784.258	396.172
	134	783.586	394.38
	135	782.891	393.313
	136	782.477	391.766
	137	781.699	391.137
	138	781.105	390.34
	139	780.445	388.219
	140	780.625	386.532
	141	780.57	384.77
	142	780.848	383.801
	143	777.863	384.774
	144	772.77	384.258
	145	768.59	383.196
	146	765.871	382.528
	147	763.234	382.723
	148	761.695	383.266
	149	759.964	384.051
	150	758.937	386.199
	151	757.96	388.816
	152	757.655	389.707
	153	757.691	388.652
	154	757.976	388.613
	155	758.206	388.984
	156	758.218	390.527
	157	757.948	392.793
	158	757.679	396.297
	159	756.878	398.937
	160	756.144	401.636
	161	755.109	404.636
	162	753.808	409.687
	163	753.691	413.086
	164	752.526	416.726
	165	750.816	420.613
	166	750.234	424.371
	167	748.374	427.898
	168	747.109	430.996
	169	745.523	434.25
	170	744.308	437.418
	171	743.132	440.406
	172	741.721	443.253
	173	740.459	446.261
	174	738.748	449.573
	175	736.643	454.143
	176	734.713	456.663
	177	732.53	459.155
	178	730.354	461.858
	179	727.776	465.405
	180	725.264	468.624
	181	723.346	470.983
	182	721.479	473.202
	183	719.268	474.159
	184	717.545	476.46
	185	715.451	478.475
	186	713.28	479.413
	187	711.436	479.819
	188	709.615	480.749
	189	707.26	482.175
	190	704.635	484.374
	191	702.244	486.819
	192	699.744	489.116
